City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.1203,-134.9692,26.72,76,31,3.74,PF,1680314883
1,san luis,-33.295,-66.3356,12.65,49,0,3.67,AR,1680314601
2,ust-maya,60.4167,134.5333,-0.65,99,100,1.45,RU,1680314885
3,thompson,55.7435,-97.8558,-8.91,79,100,3.09,CA,1680314885
4,lyantonde,-0.4031,31.1572,15.82,95,56,1.37,UG,1680314885
5,hilo,19.7297,-155.09,25.85,78,75,7.2,US,1680314701
6,mataura,-46.1927,168.8643,20.62,50,3,1.47,NZ,1680314886
7,east london,-33.0153,27.9116,17.06,78,0,2.12,ZA,1680314886
8,severo-kurilsk,50.6789,156.125,0.97,70,14,4.5,RU,1680314887
9,kavieng,-2.5744,150.7967,27.52,78,98,3.39,PG,1680314887
10,new norfolk,-42.7826,147.0587,16.51,52,98,0.89,AU,1680314888
11,jamestown,42.097,-79.2353,11.77,87,100,5.66,US,1680314632
12,acapulco,16.8634,-99.8901,27.9,69,75,2.57,MX,1680314649
13,butaritari,3.0707,172.7902,27.34,75,100,2.63,KI,1680314889
14,chokurdakh,70.6333,147.9167,-26.71,93,99,3.93,RU,1680314889
15,nome,64.5011,-165.4064,-4.91,73,0,6.69,US,1680314889
16,atuona,-9.8,-139.0333,27.31,72,7,5.25,PF,1680314749
17,coos bay,43.3665,-124.2179,10.17,93,100,4.63,US,1680314890
18,puerto escondido,15.85,-97.0667,29.46,61,40,0.0,MX,1680314890
19,barcelos,41.5388,-8.6151,14.36,93,94,1.08,PT,1680314891
20,hermanus,-34.4187,19.2345,15.45,87,0,3.72,ZA,1680314891
21,ushuaia,-54.8,-68.3,8.81,61,20,2.57,AR,1680314891
22,saint-joseph,-21.3667,55.6167,24.21,81,14,4.03,RE,1680314891
23,saskylakh,71.9167,114.0833,-20.47,91,73,4.93,RU,1680314892
24,san patricio,28.017,-97.5169,25.66,84,98,5.4,US,1680314892
25,lebu,-37.6167,-73.65,11.06,81,6,2.79,CL,1680314892
26,hasaki,35.7333,140.8333,20.22,65,0,6.54,JP,1680314758
27,yellowknife,62.456,-114.3525,-15.8,54,100,7.6,CA,1680314893
28,hay river,60.8156,-115.7999,-8.02,79,100,4.63,CA,1680314894
29,bima,-8.4667,118.7167,28.39,79,100,1.74,ID,1680314894
30,ancud,-41.8697,-73.8203,12.69,71,100,8.23,CL,1680314895
31,faanui,-16.4833,-151.75,28.41,68,100,3.1,PF,1680314895
32,bacalar,18.6667,-88.3833,24.21,78,14,3.07,MX,1680314895
33,ambon,-3.6954,128.1814,31.08,74,40,2.06,ID,1680314896
34,prachuap khiri khan,12.2167,99.75,29.11,47,8,1.3,TH,1680314896
35,flinders,-34.5833,150.8552,16.95,77,100,6.17,AU,1680314867
36,adrar,20.5022,-10.0711,22.78,9,0,5.95,MR,1680314896
37,okha,53.5739,142.9478,1.64,93,73,5.0,RU,1680314896
38,hithadhoo,-0.6,73.0833,27.84,76,11,3.01,MV,1680314897
39,cape town,-33.9258,18.4232,18.54,77,2,6.71,ZA,1680314715
40,antofagasta,-23.65,-70.4,20.6,89,37,1.45,CL,1680314898
41,nanortalik,60.1432,-45.2371,-5.18,88,31,2.01,GL,1680314751
42,talnakh,69.4865,88.3972,-13.77,91,100,8.57,RU,1680314899
43,port alfred,-33.5906,26.891,16.09,79,0,2.75,ZA,1680314899
44,conceicao do araguaia,-8.2578,-49.2647,23.04,94,98,1.03,BR,1680314899
45,sterling,39.0062,-77.4286,15.55,78,75,8.05,US,1680314700
46,aguimes,27.9054,-15.4461,20.92,46,0,7.72,ES,1680314900
47,kahului,20.8947,-156.47,29.01,65,40,6.69,US,1680314900
48,arica,-18.475,-70.3042,23.75,73,0,0.0,CL,1680314900
49,soyo,-6.1349,12.3689,25.8,86,99,1.5,AO,1680314901
50,port elizabeth,-33.918,25.5701,14.06,79,2,1.34,ZA,1680314901
51,noumea,-22.2763,166.4572,30.99,70,24,3.97,NC,1680314884
52,spas-klepiki,55.1347,40.1767,-0.05,96,57,1.98,RU,1680314902
